"year","month","avg_gap"
"2025","Jan",-1.28
"2025","Feb",-1.44
"2025","Mar",0.37
"2025","Apr",1.65
"2025","May",5.51
"2025","Jun",8.73
"2025","Jul",10.31
"2025","Aug",10.99
"2025","Sep",12.12
"2025","Oct",4.65
"2025","Nov",2.25
"2025","Dec",-0.21
"2024","Jan",-0.29
"2024","Feb",0.07
"2024","Mar",1.16
"2024","Apr",2.84
"2024","May",3.23
"2024","Jun",NA
"2024","Jul",NA
"2024","Aug",NA
"2024","Sep",NA
"2024","Oct",NA
"2024","Nov",-0.06
"2024","Dec",-0.44
"2023","Jan",NA
"2023","Feb",NA
"2023","Mar",NA
"2023","Apr",NA
"2023","May",4.18
"2023","Jun",6.5
"2023","Jul",11.72
"2023","Aug",12.22
"2023","Sep",11.95
"2023","Oct",6.9
"2023","Nov",1.82
"2023","Dec",0.3
"2022","Jan",-1.35
"2022","Feb",-0.95
"2022","Mar",-0.7
"2022","Apr",0.86
"2022","May",4.38
"2022","Jun",7.33
"2022","Jul",8.16
"2022","Aug",11.07
"2022","Sep",10.76
"2022","Oct",3.97
"2022","Nov",5.03
"2022","Dec",NA
"2021","Jan",-0.47
"2021","Feb",-0.72
"2021","Mar",-0.6
"2021","Apr",1.69
"2021","May",3.94
"2021","Jun",7.12
"2021","Jul",11.7
"2021","Aug",12.02
"2021","Sep",9.26
"2021","Oct",6.76
"2021","Nov",1.83
"2021","Dec",-1.21
"2020","Jan",-1.18
"2020","Feb",-0.44
"2020","Mar",0.21
"2020","Apr",1.94
"2020","May",3.81
"2020","Jun",8.48
"2020","Jul",14.27
"2020","Aug",12.84
"2020","Sep",7.65
"2020","Oct",5.75
"2020","Nov",2.46
"2020","Dec",0.19
"2019","Jan",-0.67
"2019","Feb",-0.95
"2019","Mar",0.61
"2019","Apr",1.33
"2019","May",4.22
"2019","Jun",8.2
"2019","Jul",11.86
"2019","Aug",NA
"2019","Sep",NA
"2019","Oct",NA
"2019","Nov",0.02
"2019","Dec",-1.1
"2018","Feb",-0.2
"2018","Mar",-0.16
"2018","Apr",1.06
"2018","May",5.46
"2018","Jun",6.35
"2018","Jul",11.14
"2018","Aug",12.87
"2018","Sep",11.92
"2018","Oct",5.24
"2018","Nov",1.28
"2018","Dec",-1.09
